date,store_name,total_value
2021-01-01,BlueMart Store 30,34.78
2021-01-01,BlueMart Store 24,38.6
2021-01-01,BlueMart Store 02,42.1
2021-01-01,BlueMart Store 19,16.25
2021-01-01,BlueMart Store 46,115.17
2021-01-01,BlueMart Store 30,454.88
2021-01-01,BlueMart Store 36,99.2
2021-01-01,BlueMart Store 06,26.58
2021-01-01,BlueMart Store 14,84.38
2021-01-01,BlueMart Store 27,45.85
2021-01-01,BlueMart Store 42,27.74
2021-01-01,BlueMart Store 07,56.73
2021-01-01,BlueMart Store 38,25.91
2021-01-01,BlueMart Store 29,13.66
2021-01-01,BlueMart Store 15,126.57
2021-01-01,BlueMart Store 37,66.75
2021-01-01,BlueMart Store 14,386.55
2021-01-01,BlueMart Store 24,27.9
2021-01-01,BlueMart Store 16,59.88
2021-01-01,BlueMart Store 07,103.92
2021-01-01,BlueMart Store 02,67.55
2021-01-01,BlueMart Store 01,60.42
2021-01-01,BlueMart Store 50,87.54
2021-01-01,BlueMart Store 05,81.06
2021-01-01,BlueMart Store 23,39.87
2021-01-01,BlueMart Store 13,9.64
2021-01-01,BlueMart Store 47,93.8
2021-01-01,BlueMart Store 49,71.96
2021-01-01,BlueMart Store 23,149.4
2021-01-01,BlueMart Store 10,28.84
2021-01-01,BlueMart Store 09,21.96
2021-01-01,BlueMart Store 22,209.6
2021-01-01,BlueMart Store 09,51.96
2021-01-01,BlueMart Store 43,567.25
2021-01-01,BlueMart Store 38,595.68
2021-01-01,BlueMart Store 13,409.95
2021-01-01,BlueMart Store 02,70.02
2021-01-01,BlueMart Store 13,89.32
2021-01-01,BlueMart Store 46,121.88
2021-01-01,BlueMart Store 18,727.92
2021-01-01,BlueMart Store 12,37.68
2021-01-01,BlueMart Store 20,309.24
2021-01-01,BlueMart Store 48,361.74
2021-01-01,BlueMart Store 18,40.7
2021-01-01,BlueMart Store 35,44.5
2021-01-01,BlueMart Store 50,124.0
2021-01-01,BlueMart Store 30,121.64
2021-01-01,BlueMart Store 21,18.05
2021-01-01,BlueMart Store 05,41.91
2021-01-01,BlueMart Store 17,121.88
2021-01-01,BlueMart Store 01,17.22
2021-01-01,BlueMart Store 39,45.84
2021-01-01,BlueMart Store 36,199.2
2021-01-01,BlueMart Store 30,30.9
2021-01-01,BlueMart Store 45,53.27
2021-01-01,BlueMart Store 12,50.9
2021-01-01,BlueMart Store 29,417.12
2021-01-01,BlueMart Store 43,50.86
2021-01-01,BlueMart Store 29,93.8
2021-01-01,BlueMart Store 23,192.9
2021-01-01,BlueMart Store 13,20.34
2021-01-01,BlueMart Store 25,204.72
2021-01-01,BlueMart Store 29,18.56
2021-01-01,BlueMart Store 36,42.32
2021-01-01,BlueMart Store 14,123.72
2021-01-01,BlueMart Store 38,53.97
2021-01-01,BlueMart Store 20,763.85
2021-01-01,BlueMart Store 02,137.55
2021-01-01,BlueMart Store 33,34.62
2021-01-01,BlueMart Store 50,6.37
2021-01-01,BlueMart Store 03,226.9
2021-01-01,BlueMart Store 02,5.2
2021-01-01,BlueMart Store 09,57.78
2021-01-01,BlueMart Store 45,278.08
2021-01-01,BlueMart Store 10,213.08
2021-01-01,BlueMart Store 20,69.48
2021-01-01,BlueMart Store 36,216.15
2021-01-01,BlueMart Store 46,15.75
2021-01-01,BlueMart Store 42,331.45
2021-01-01,BlueMart Store 33,164.56
2021-01-01,BlueMart Store 26,60.12
2021-01-01,BlueMart Store 26,279.76
2021-01-01,BlueMart Store 41,91.14
2021-01-01,BlueMart Store 49,658.24
2021-01-01,BlueMart Store 31,32.19
2021-01-01,BlueMart Store 08,78.68
2021-01-01,BlueMart Store 10,14.02
2021-01-01,BlueMart Store 14,84.72
