customer_id,total_spend,spend_tier
3718,13813.66,High
1104,13809.97,High
341,13801.73,High
2015,13799.83,High
1333,13794.55,High
586,13785.65,High
3972,13780.62,High
229,13776.19,High
3184,13765.28,High
1290,13756.73,High
2261,13743.04,High
1115,13741.06,High
337,13740.41,High
448,13738.91,High
1688,13738.58,High
3430,13738.27,High
3564,13733.17,High
4691,13731.42,High
2574,13727.9,High
1948,13727.84,High
3435,13718.76,High
1037,13718.68,High
1730,13718.62,High
2267,13718.6,High
983,13718.28,High
716,13707.33,High
1789,13703.03,High
4245,13701.67,High
1825,13693.6,High
540,13693.05,High
2147,13687.86,High
3385,13687.14,High
1538,13687.0,High
2927,13685.84,High
1074,13685.53,High
4371,13680.79,High
1223,13679.19,High
1883,13675.77,High
516,13660.91,High
2740,13660.44,High
4632,13655.06,High
4495,13649.05,High
1996,13649.03,High
2110,13633.66,High
1102,13632.03,High
4233,13628.61,High
3506,13614.02,High
2149,13612.5,High
2432,13609.04,High
2324,13608.39,High
2783,13600.97,High
2290,13598.03,High
4875,13587.66,High
3560,13586.61,High
1619,13586.34,High
870,13575.18,High
1748,13566.59,High
2277,13563.78,High
4263,13561.78,High
2975,13560.35,High
1545,13556.64,High
1914,13554.78,High
265,13552.24,High
1387,13534.32,High
3688,13533.95,High
4360,13529.61,High
1372,13522.45,High
3801,13522.14,High
2359,13519.67,High
2076,13507.27,High
1061,13503.27,High
1090,13497.74,High
4308,13494.97,High
2717,13494.23,High
1348,13494.13,High
2437,13492.54,High
2758,13487.41,High
1393,13480.81,High
2328,13479.64,High
807,13476.64,High
2832,13474.95,High
3362,13471.06,High
3614,13470.56,High
1692,13468.07,High
791,13464.25,High
1777,13462.68,High
3535,13459.42,High
1728,13456.08,High
2342,13456.0,High
405,13438.3,High
656,13432.88,High
492,13431.09,High
3407,13412.31,High
3864,13400.26,High
4942,13399.37,High
4212,13395.57,High
3331,13391.1,High
3288,13391.08,High
357,13389.74,High
2512,13378.23,High
1143,13372.29,High
4336,13370.28,High
2344,13369.58,High
681,13364.46,High
1982,13357.95,High
4911,13348.18,High
2030,13344.44,High
4398,13342.31,High
4572,13335.91,High
828,13333.93,High
1604,13332.47,High
3169,13332.45,High
1843,13331.41,High
1591,13330.96,High
878,13330.79,High
4959,13326.63,High
142,13322.15,High
2919,13317.82,High
590,13317.44,High
3294,13317.1,High
372,13303.7,High
1878,13302.9,High
1111,13301.81,High
2250,13300.6,High
4343,13295.83,High
2744,13290.7,High
1508,13289.86,High
3337,13289.55,High
4017,13281.79,High
1431,13280.23,High
1583,13270.35,High
2679,13264.86,High
3043,13258.21,High
2812,13258.16,High
4567,13257.99,High
506,13257.97,High
3636,13257.05,High
2900,13254.6,High
713,13247.62,High
366,13247.48,High
4731,13243.0,High
1481,13242.88,High
1957,13238.71,High
916,13232.61,High
2524,13232.43,High
245,13225.29,High
1477,13222.28,High
3698,13220.73,High
4450,13216.36,High
4945,13210.94,High
795,13204.61,High
227,13201.6,High
4472,13199.53,High
1093,13199.41,High
4513,13199.33,High
483,13193.2,High
2930,13193.06,High
1537,13181.44,High
4239,13181.07,High
2170,13177.98,High
1679,13172.0,High
1842,13168.85,High
4645,13159.62,High
4088,13154.91,High
707,13153.74,High
4783,13153.23,High
2252,13148.53,High
386,13146.05,High
3045,13142.91,High
838,13141.65,High
2439,13139.79,High
946,13138.11,High
4630,13137.22,High
1701,13136.44,High
4366,13135.43,High
1706,13135.05,High
4500,13131.9,High
4361,13116.53,High
3476,13115.48,High
340,13111.31,High
2774,13105.11,High
190,13104.22,High
3495,13101.78,High
2350,13095.05,High
601,13094.67,High
4811,13093.03,High
1812,13091.45,High
2386,13089.94,High
3554,13079.12,High
3209,13072.14,High
4657,13069.25,High
1865,13059.12,High
1457,13058.85,High
1902,13054.03,High
913,13052.23,High
1461,13052.06,High
1316,13049.32,High
751,13047.43,High
4380,13045.76,High
4215,13044.2,High
3402,13041.72,High
117,13040.27,High
4997,13037.56,High
757,13037.07,High
2318,13035.05,High
333,13019.93,High
2114,13017.83,High
3194,13014.47,High
2302,13009.55,High
1026,13005.81,High
3668,13003.4,High
4315,13002.86,High
3010,12991.82,High
3790,12989.93,High
1752,12989.66,High
2613,12985.91,High
3795,12982.39,High
4534,12981.47,High
53,12980.33,High
4117,12976.84,High
3825,12976.48,High
3524,12968.76,High
3381,12965.73,High
2268,12964.01,High
1616,12962.72,High
2899,12961.29,High
2351,12959.77,High
781,12953.54,High
3890,12951.32,High
2968,12950.98,High
4103,12949.43,High
3439,12949.17,High
2084,12946.96,High
4808,12943.72,High
3883,12940.7,High
3717,12936.04,High
511,12935.54,High
3579,12934.28,High
3426,12932.82,High
2174,12929.88,High
4586,12928.91,High
2137,12924.23,High
3293,12915.41,High
4086,12913.0,High
319,12912.7,High
4418,12911.64,High
1835,12910.26,High
3393,12909.38,High
768,12908.61,High
3853,12905.93,High
2036,12902.51,High
2609,12896.74,High
464,12894.32,High
4784,12890.93,High
1195,12890.35,High
2317,12890.23,High
3077,12889.79,High
890,12885.93,High
130,12884.96,High
4994,12881.83,High
978,12877.79,High
3879,12873.64,High
2288,12872.88,High
2438,12870.06,High
4796,12867.69,High
2849,12863.89,High
2951,12859.6,High
1700,12859.47,High
1682,12858.46,High
4568,12854.92,High
2451,12854.76,High
1426,12846.7,High
3336,12846.14,High
552,12835.18,High
2163,12828.76,High
359,12827.78,High
942,12822.85,High
3566,12818.68,High
1177,12818.54,High
2727,12814.25,High
3760,12813.92,High
134,12794.7,High
3164,12794.69,High
4557,12793.08,High
1039,12791.99,High
4313,12786.19,High
784,12785.98,High
809,12785.86,High
3541,12780.46,High
3981,12778.83,High
4850,12777.93,High
3820,12773.13,High
4321,12772.23,High
3187,12771.38,High
2925,12771.36,High
3458,12769.29,High
2064,12766.91,High
4675,12766.8,High
3253,12766.55,High
4867,12760.06,High
4022,12754.2,High
1968,12752.49,High
2218,12750.38,High
1862,12749.43,High
2869,12747.42,High
2254,12746.37,High
1714,12745.58,High
4864,12742.72,High
3830,12739.98,High
1273,12738.93,High
4562,12736.1,High
3083,12734.5,High
4685,12734.24,High
4952,12732.54,High
3100,12732.26,High
4669,12730.89,High
766,12727.56,High
1276,12724.23,High
856,12721.83,High
85,12721.62,High
1349,12715.36,High
3984,12715.34,High
3568,12713.91,High
2349,12713.22,High
4847,12709.64,High
3,12708.43,High
1775,12702.59,High
2129,12700.98,High
2809,12700.71,High
2796,12697.74,High
2190,12695.3,High
124,12694.03,High
665,12693.83,High
3310,12693.31,High
4577,12690.37,High
4211,12689.53,High
2068,12687.0,High
738,12685.37,High
1626,12684.95,High
3035,12684.71,High
3956,12684.33,High
3640,12684.18,High
2986,12677.36,High
1936,12675.39,High
4136,12672.42,High
4813,12672.42,High
20,12671.04,High
632,12664.82,High
4467,12662.73,High
2445,12660.38,High
3387,12658.74,High
1071,12654.82,High
1056,12654.34,High
3252,12653.23,High
3515,12653.17,High
4152,12652.47,High
3489,12643.29,High
437,12639.64,High
3594,12637.14,High
364,12636.41,High
4643,12633.89,High
3156,12630.09,High
1633,12627.01,High
652,12622.44,High
4893,12621.99,High
4039,12620.47,High
470,12619.93,High
3016,12615.4,High
1493,12612.45,High
4019,12612.27,High
4798,12611.89,High
4668,12610.84,High
4824,12607.86,High
1485,12604.86,High
4082,12604.21,High
4735,12602.29,High
2380,12602.16,High
808,12601.36,High
3419,12588.16,High
4181,12587.4,High
2792,12585.57,High
4839,12584.81,High
3860,12582.27,High
3170,12582.04,High
3513,12581.57,High
3799,12579.2,High
2939,12578.19,High
1548,12577.1,High
4067,12574.81,High
571,12569.29,High
3189,12566.28,High
2069,12563.54,High
927,12563.21,High
1309,12560.67,High
3037,12554.26,High
410,12549.21,High
4335,12548.75,High
1411,12545.36,High
4922,12541.6,High
4530,12541.36,High
3446,12540.48,High
2272,12531.56,High
3364,12529.74,High
3817,12529.61,High
4506,12529.51,High
3051,12527.05,High
2059,12525.86,High
2934,12523.87,High
2965,12521.59,High
315,12520.64,High
1314,12517.12,High
1248,12512.43,High
1007,12509.24,High
3007,12508.37,High
672,12505.5,High
4433,12498.75,High
2199,12497.93,High
1049,12497.44,High
475,12491.13,High
2518,12491.04,High
2982,12489.82,High
2037,12489.64,High
899,12486.84,High
764,12479.91,High
1655,12478.31,High
682,12475.39,High
3585,12473.85,High
4624,12471.91,High
67,12471.52,High
4175,12471.04,High
1317,12467.21,High
1564,12466.46,High
240,12464.24,High
545,12460.11,High
922,12458.77,High
1305,12456.07,High
3412,12455.89,High
3485,12455.72,High
3306,12454.34,High
444,12453.82,High
1503,12453.82,High
660,12453.75,High
550,12449.76,High
3733,12448.43,High
58,12447.96,High
1291,12441.57,High
932,12439.71,High
3071,12435.65,High
1845,12433.17,High
2056,12431.11,High
1941,12427.02,High
2385,12426.7,High
3602,12424.92,High
3978,12423.24,High
260,12423.02,High
1815,12421.89,High
4826,12421.76,High
2244,12420.7,High
970,12420.33,High
3780,12420.1,High
3979,12419.74,High
733,12417.93,High
4036,12410.86,High
3784,12407.1,High
3263,12406.19,High
1550,12406.06,High
1496,12404.87,High
1589,12400.61,High
3413,12399.0,High
2279,12396.02,High
568,12393.99,High
4488,12393.89,High
1964,12389.33,High
502,12389.13,High
3744,12388.56,High
2659,12385.96,High
1450,12384.63,High
1822,12383.6,High
2534,12382.32,High
4860,12381.84,High
86,12376.51,High
1611,12375.4,High
2521,12372.65,High
3211,12372.23,High
2164,12369.02,High
1631,12366.25,High
2052,12364.07,High
3073,12363.97,High
2730,12363.08,High
2226,12362.55,High
2088,12361.0,High
3467,12357.03,High
667,12355.65,High
3165,12353.7,High
1172,12352.69,High
1840,12352.18,High
157,12347.99,High
4950,12347.6,High
4871,12346.88,High
952,12344.86,High
3464,12344.85,High
4704,12344.74,High
2300,12342.4,High
604,12342.33,High
4819,12334.39,High
2222,12334.04,High
782,12333.51,High
647,12332.38,High
3520,12331.31,High
2123,12329.97,High
1315,12329.31,High
915,12327.18,High
4910,12325.84,High
3144,12319.51,High
308,12317.69,High
4762,12315.68,High
1786,12312.91,High
3416,12312.37,High
4487,12311.6,High
2303,12310.56,High
3656,12308.39,High
1991,12307.9,High
2843,12307.08,High
822,12305.75,High
2813,12302.58,High
3706,12299.47,High
805,12297.83,High
3563,12294.42,High
38,12290.42,High
3809,12289.54,High
1389,12289.42,High
4252,12287.41,High
2983,12284.47,High
1156,12282.01,High
4112,12278.42,High
1432,12278.12,High
1297,12274.78,High
2346,12274.77,High
2842,12274.54,High
4877,12274.36,High
1218,12270.31,High
4280,12270.23,High
3555,12260.1,High
1784,12259.05,High
4440,12259.0,High
798,12258.74,High
1099,12255.81,High
2160,12255.07,High
84,12254.28,High
1130,12252.41,High
4986,12251.86,High
2393,12250.23,High
14,12247.78,High
472,12246.23,High
971,12238.75,High
3786,12237.2,High
242,12232.04,High
1586,12231.8,High
3228,12229.46,High
3015,12228.44,High
3791,12228.12,High
2860,12227.14,High
1940,12224.52,High
4758,12223.99,High
2113,12223.16,High
2584,12222.67,High
4114,12222.64,High
2714,12220.42,High
1375,12218.19,High
4382,12216.8,High
2340,12216.0,High
2638,12214.04,High
4584,12212.82,High
4350,12209.81,High
2390,12205.16,High
2953,12204.34,High
1250,12197.99,High
2987,12193.83,High
1951,12192.14,High
3870,12191.73,High
4496,12190.66,High
3473,12188.72,High
4803,12188.08,High
2759,12187.91,High
2152,12186.79,High
3225,12186.28,High
4287,12186.06,High
2248,12184.61,High
1890,12184.37,High
974,12182.57,High
2225,12182.19,High
247,12180.61,High
779,12177.97,High
1893,12177.57,High
3042,12176.7,High
2992,12174.11,High
4504,12173.82,High
4649,12171.27,High
1641,12170.25,High
1817,12169.71,High
445,12167.13,High
606,12166.93,High
4991,12166.71,High
4774,12166.69,High
706,12160.05,High
3650,12159.01,High
2011,12158.57,High
2156,12158.29,High
1226,12156.35,High
2134,12154.8,High
487,12153.57,High
466,12148.24,High
4694,12143.65,High
2235,12139.66,High
206,12136.17,High
675,12135.44,High
2315,12134.49,High
3145,12133.72,High
1311,12132.24,High
4444,12129.81,High
2967,12129.66,High
3587,12129.61,High
1408,12127.94,High
921,12125.0,High
2911,12123.79,High
2341,12123.32,High
965,12122.24,High
727,12120.72,High
425,12118.37,High
2938,12116.74,High
1489,12116.62,High
442,12114.55,High
4288,12114.05,High
2887,12113.24,High
3265,12108.3,High
262,12104.7,High
3603,12101.23,High
2099,12101.11,High
2652,12100.21,High
1699,12099.67,High
1134,12098.9,High
2027,12097.91,High
735,12095.65,High
4293,12094.55,High
3844,12094.43,High
2800,12094.42,High
2292,12093.9,High
1832,12092.21,High
3234,12092.13,High
1425,12091.36,High
4021,12089.34,High
1201,12089.02,High
633,12088.23,High
1261,12085.98,High
4376,12081.62,High
1635,12080.7,High
2650,12079.16,High
1933,12077.7,High
3752,12077.68,High
2473,12077.09,High
1183,12076.97,High
3363,12075.59,High
2269,12075.58,High
1275,12075.48,High
3235,12073.45,High
3483,12072.67,High
3206,12071.26,High
1573,12069.66,High
3715,12069.65,High
1955,12068.96,High
4265,12068.94,High
3701,12068.85,High
4667,12068.67,High
2844,12068.42,High
4626,12065.24,High
2246,12064.82,High
1576,12063.52,High
4057,12061.11,High
2374,12058.6,High
3019,12056.42,High
2275,12054.99,High
4639,12054.05,High
876,12050.19,High
4956,12048.55,High
4536,12048.28,High
3836,12046.36,High
4367,12046.31,High
2434,12046.3,High
2408,12045.36,High
4421,12042.61,High
1293,12042.51,High
2734,12038.98,High
458,12038.05,High
2806,12036.2,High
2594,12031.96,High
2251,12029.62,High
4897,12025.31,High
4270,12024.85,High
4589,12024.81,High
1791,12023.3,High
4929,12022.89,High
1961,12020.52,High
324,12019.66,High
850,12019.23,High
3053,12018.68,High
1300,12014.62,High
3980,12014.04,High
2014,12013.94,High
1675,12013.55,High
1465,12012.79,High
515,12011.0,High
2444,12010.98,High
1266,12008.08,High
1184,12007.8,High
1210,12007.68,High
389,12005.89,High
2781,12005.03,High
1334,12001.83,High
831,11999.76,High
4224,11999.76,High
4130,11999.15,High
1257,11998.3,High
1763,11997.5,High
3275,11997.32,High
1958,11995.33,High
4525,11994.1,High
2065,11993.63,High
1246,11993.34,High
4760,11991.74,High
1295,11991.31,High
137,11988.9,High
4745,11987.09,High
2072,11984.28,High
1076,11984.08,High
3682,11982.81,High
4511,11981.32,High
1572,11981.29,High
1233,11974.28,High
68,11968.46,High
1906,11966.05,High
4917,11965.82,High
3793,11963.84,High
4521,11962.28,High
4047,11961.73,High
486,11961.26,High
3863,11960.93,High
1643,11959.28,High
2628,11957.39,High
2711,11956.43,High
4529,11955.2,High
711,11953.73,High
4055,11952.66,High
129,11952.49,High
903,11951.23,High
2667,11949.41,High
4954,11948.82,High
4593,11943.15,High
4599,11938.54,High
3013,11935.6,High
4013,11933.34,High
2028,11933.11,High
1578,11929.89,High
3493,11929.73,High
4891,11929.32,High
888,11927.55,High
2016,11927.25,High
2820,11923.76,High
1882,11923.0,High
4098,11919.22,High
772,11918.66,High
786,11916.83,High
1525,11916.26,High
3216,11914.7,High
2949,11913.51,High
4537,11913.17,High
2127,11910.26,High
4041,11909.91,High
3127,11909.65,High
4713,11906.38,High
1765,11905.73,High
4629,11905.07,High
3995,11904.43,High
310,11903.56,High
4437,11897.66,High
4538,11897.16,High
426,11892.39,High
1440,11891.78,High
1502,11889.62,High
2682,11888.98,High
3017,11886.0,High
2157,11885.78,High
4640,11885.75,High
4904,11884.8,High
1225,11883.6,High
4836,11881.68,High
3086,11881.55,High
495,11878.0,High
962,11876.62,High
897,11875.97,High
4176,11875.6,High
926,11874.4,High
4081,11873.05,High
2228,11869.78,High
4201,11869.33,High
1696,11869.01,High
3942,11868.02,High
3341,11865.03,High
3655,11865.01,High
474,11864.79,High
1654,11861.63,High
4995,11857.7,High
3221,11855.96,High
296,11855.28,High
1773,11855.18,High
1490,11854.89,High
2892,11851.92,High
4231,11850.43,High
2446,11844.55,High
3673,11843.18,High
233,11841.52,High
894,11839.96,High
2642,11839.63,High
677,11837.65,High
4979,11836.47,High
3057,11835.69,High
1715,11833.41,High
2508,11833.05,High
2096,11832.09,High
2262,11831.97,High
419,11831.68,High
574,11830.88,High
302,11827.47,High
2737,11827.4,High
3905,11826.63,High
4179,11826.49,High
4801,11825.31,High
1780,11825.02,High
2057,11824.92,High
2962,11824.8,High
143,11823.95,High
3546,11822.95,High
1447,11822.73,High
3764,11822.54,High
621,11822.34,High
4106,11821.79,High
433,11821.72,High
2394,11820.85,High
3849,11819.11,High
2662,11816.34,High
3257,11815.26,High
3090,11814.9,High
1935,11814.13,High
3492,11812.78,High
1721,11811.79,High
4848,11810.72,High
3197,11803.5,High
1132,11800.63,High
336,11799.74,High
2042,11798.25,High
55,11797.97,High
2135,11797.37,High
3451,11791.86,High
286,11790.68,High
3896,11790.58,High
39,11788.57,High
1969,11787.63,High
1847,11785.62,High
4340,11785.39,High
3986,11784.7,High
4323,11783.12,High
375,11776.84,High
2523,11775.52,High
365,11775.24,High
3854,11773.13,High
2188,11772.1,High
1712,11770.27,High
203,11766.01,High
344,11763.59,High
4677,11761.74,High
1284,11759.55,High
4228,11758.72,High
694,11757.24,High
252,11755.35,High
1569,11753.55,High
118,11752.42,High
94,11750.32,High
4425,11749.48,High
4238,11749.35,High
787,11746.3,High
1403,11744.93,High
4497,11744.53,High
1320,11741.81,High
3987,11741.53,High
862,11735.46,High
3925,11734.67,High
380,11733.28,High
4458,11730.06,High
3909,11729.03,High
3926,11728.39,High
3803,11728.03,High
396,11727.79,High
2038,11727.01,High
748,11725.44,High
4851,11723.5,High
1683,11723.3,High
3487,11722.52,High
1595,11722.08,High
615,11720.53,High
2400,11720.07,High
4756,11720.06,High
2952,11714.41,High
3871,11712.22,High
3396,11711.94,High
4988,11711.81,High
4267,11710.47,High
2692,11710.29,High
3175,11708.7,High
1993,11707.73,High
2979,11707.22,High
2316,11705.09,High
4249,11704.76,High
3392,11704.27,High
219,11703.56,High
87,11702.5,High
156,11701.47,High
185,11700.58,High
423,11700.03,High
353,11699.83,High
1520,11697.97,High
4432,11697.91,High
3148,11697.87,High
15,11697.82,High
218,11694.47,High
2649,11691.41,High
3611,11691.05,High
1997,11690.94,High
3355,11687.75,High
3783,11687.46,High
3498,11687.03,High
2238,11685.49,High
3091,11684.98,High
3296,11684.47,High
2205,11678.83,High
2363,11677.92,High
3038,11677.7,High
843,11677.5,High
489,11674.36,High
3200,11674.16,High
3707,11673.32,High
1766,11670.69,High
3453,11669.39,High
1727,11667.49,High
2121,11665.92,High
4070,11665.34,High
3395,11664.55,High
2347,11659.99,High
199,11659.15,High
3738,11657.58,High
3436,11656.53,High
4191,11656.01,High
3411,11654.47,High
1746,11653.01,High
3246,11652.47,High
4006,11651.9,High
1352,11649.86,High
3806,11648.34,High
629,11648.29,High
3989,11647.34,High
454,11646.55,High
1449,11644.58,High
2673,11643.96,High
3004,11643.53,High
1500,11643.12,High
2569,11642.17,High
939,11641.92,High
2677,11641.2,High
1753,11639.9,High
22,11638.9,High
1652,11638.83,High
4011,11638.13,High
688,11638.04,High
288,11637.91,High
1540,11637.9,High
1251,11637.49,High
1170,11636.23,High
421,11635.69,High
3163,11634.18,High
2670,11633.95,High
800,11632.5,High
4539,11631.37,High
2410,11631.07,High
3342,11627.09,High
1734,11625.77,High
4720,11624.04,High
2128,11623.26,High
1761,11623.21,High
3819,11623.16,High
648,11621.69,High
4268,11617.96,High
4547,11617.85,High
2103,11617.09,High
1866,11615.72,High
3491,11614.32,High
4886,11614.14,High
3557,11613.72,High
4479,11612.58,High
4460,11611.72,High
3792,11610.95,High
2688,11610.77,High
2485,11610.59,High
3162,11610.18,High
1743,11609.25,High
2209,11608.39,High
12,11608.24,High
2905,11607.61,High
852,11606.99,High
4368,11606.21,High
1247,11603.54,High
4865,11596.96,High
1507,11595.94,High
588,11595.35,High
1406,11593.05,High
3749,11588.69,High
3930,11587.8,High
2582,11587.7,High
3961,11586.8,High
1206,11585.56,High
334,11585.02,High
2242,11584.08,High
1365,11583.45,High
3465,11582.52,High
4928,11581.77,High
25,11578.11,High
4594,11577.98,High
4721,11577.33,High
988,11577.03,High
3139,11576.77,High
2775,11576.6,High
1054,11574.44,High
1377,11573.99,High
1581,11573.83,High
1163,11573.23,High
1434,11572.22,High
3997,11570.29,High
3461,11570.26,High
3488,11569.33,High
166,11567.64,High
4296,11566.66,High
1809,11566.25,High
54,11565.94,High
1385,11564.53,High
1292,11564.27,High
527,11564.2,High
841,11563.8,High
2805,11562.25,High
1193,11561.32,High
801,11559.98,High
3210,11558.45,High
1779,11557.32,High
3442,11554.43,High
1044,11553.86,High
2815,11553.85,High
3644,11553.34,High
2477,11549.58,High
651,11548.73,High
3391,11547.51,High
1695,11543.62,High
4660,11542.09,High
1364,11540.63,High
2898,11536.38,High
3432,11530.47,High
381,11529.31,High
1308,11528.49,High
4341,11527.27,High
4483,11526.33,High
4895,11524.06,High
2903,11523.88,High
2407,11522.76,High
4412,11521.82,High
4247,11520.18,High
2592,11519.88,High
2043,11517.47,High
1131,11516.3,High
284,11514.21,High
618,11513.68,High
2868,11512.8,High
3445,11512.71,High
624,11512.47,High
1687,11512.08,High
820,11511.77,High
231,11511.42,High
201,11505.49,High
2989,11504.88,High
650,11502.71,High
4816,11502.65,High
3959,11502.57,High
2039,11502.26,High
1475,11501.23,High
1522,11498.98,High
3617,11498.92,High
2194,11498.84,High
3774,11498.32,High
2755,11496.3,High
2614,11494.8,High
949,11493.72,High
3028,11490.54,High
1664,11489.29,High
1690,11488.91,High
2797,11488.82,High
2266,11487.72,High
3662,11487.19,High
4375,11486.98,High
3390,11485.56,High
2054,11482.82,High
2122,11482.67,High
3772,11482.34,High
3346,11480.22,High
968,11478.99,High
1921,11478.99,High
2182,11478.84,High
1329,11478.33,High
4553,11477.87,High
4858,11475.5,High
223,11475.35,High
436,11474.29,High
1985,11472.92,High
1639,11471.94,High
1594,11469.99,High
3353,11469.84,High
1027,11469.65,High
1459,11469.5,High
2361,11469.4,High
2575,11468.78,High
3593,11467.41,High
200,11467.34,High
1986,11466.57,High
1829,11465.92,High
4518,11463.96,High
352,11463.3,High
401,11461.31,High
3340,11460.48,High
370,11460.35,High
2086,11459.46,High
3081,11459.41,High
92,11455.5,High
3110,11454.9,High
684,11453.27,High
3514,11453.13,High
1848,11452.58,High
4148,11451.61,High
2487,11449.93,High
2691,11447.5,High
4740,11447.26,High
241,11445.52,High
2621,11442.32,High
4410,11442.09,High
2902,11440.95,High
2240,11440.5,High
3303,11438.58,High
1031,11437.85,High
362,11436.61,High
1694,11432.32,High
236,11431.19,High
4043,11431.0,High
4946,11430.15,High
3114,11429.38,High
811,11427.75,High
3999,11427.19,High
3107,11426.91,High
239,11420.45,High
872,11419.67,High
2520,11418.73,High
3512,11416.08,High
802,11415.71,High
2824,11414.17,High
3840,11413.64,High
799,11413.5,High
4177,11412.32,High
769,11411.11,High
2469,11410.79,High
2348,11410.11,High
1536,11407.06,High
4647,11406.1,High
4352,11405.99,High
4282,11404.83,High
3704,11404.34,High
2173,11403.98,High
152,11403.21,High
2973,11401.58,High
4703,11398.5,High
4492,11397.73,High
1214,11394.2,High
2000,11392.45,High
4110,11392.05,High
4576,11391.97,High
984,11390.04,High
268,11389.96,High
2552,11389.06,High
2808,11388.29,High
1341,11387.56,High
3371,11387.41,High
4187,11387.26,High
3623,11387.18,High
83,11386.85,High
3066,11385.73,High
4213,11385.43,High
4637,11385.42,High
74,11385.33,High
4168,11385.12,High
1531,11384.66,High
4960,11384.51,High
3155,11383.9,High
1000,11382.27,High
679,11381.88,High
859,11381.1,High
3118,11380.94,High
3002,11380.23,High
731,11378.43,High
4167,11377.45,High
4757,11376.95,High
4508,11376.51,High
3920,11375.43,High
2470,11374.62,High
4431,11374.1,High
1002,11371.23,High
2007,11369.52,High
3421,11367.93,High
3283,11367.9,High
342,11367.63,High
4065,11366.89,High
4876,11365.36,High
1453,11364.81,High
3735,11363.11,High
4854,11361.91,High
127,11361.86,High
2664,11359.59,High
955,11356.15,High
2018,11356.14,High
969,11355.32,High
3480,11353.75,High
2208,11352.37,High
3324,11351.71,High
2825,11350.63,High
1282,11348.99,High
758,11348.72,High
4244,11347.65,High
4030,11347.45,High
1975,11344.67,High
661,11344.24,High
3778,11344.12,High
3134,11343.47,High
1369,11342.68,High
2579,11340.98,High
4736,11340.12,High
3056,11339.2,High
2708,11338.29,High
4373,11332.41,High
3292,11330.5,High
2462,11329.36,High
4462,11328.52,High
3202,11327.69,High
2081,11326.96,High
3321,11326.22,High
4122,11325.02,High
1960,11323.85,High
279,11322.67,High
